match_group_id,source,source_id,country,start_date,end_date
1338,EM-DAT,2006-0341-USA,United States of America,2006-06-25,2006-07-01
1339,DFO,DFO-2890,Indonesia,2006-06-19,2006-06-23
1339,DFO,DFO-2893,Indonesia,2006-06-23,2006-06-27
1339,DFO,DFO-2896,Indonesia,2006-06-25,2006-06-29
1339,EM-DAT,2006-0311-IDN,Indonesia,2006-06-19,2006-06-23
1339,EM-DAT,2006-0343-IDN,Indonesia,2006-06-23,2006-06-27
1339,EM-DAT,2006-0328-IDN,Indonesia,2006-06-24,2006-06-26
1339,EM-DAT,2006-0332-IDN,Indonesia,2006-06-25,2006-06-29
1340,DFO,DFO-2899,Honduras,2006-06-25,2006-07-01
1340,EM-DAT,2006-0338-HND,Honduras,2006-06-25,2006-07-01
1341,DFO,DFO-2886,Taiwan (Province of China),2006-06-10,2006-06-13
1341,EM-DAT,2006-0299-TWN,Taiwan (Province of China),2006-06-10,2006-06-13
1342,DFO,DFO-2851,Russian Federation,2006-04-21,2006-05-31
1342,DFO,DFO-2883,Russian Federation,2006-06-04,2006-06-12
1342,EM-DAT,2006-0225-RUS,Russian Federation,2006-04-21,2006-05-11
1342,EM-DAT,2006-0306-RUS,Russian Federation,2006-06-04,2006-06-12
1343,DFO,DFO-2884,Poland • Slovakia,2006-06-04,2006-06-06
1343,EM-DAT,2006-0302-POL,Poland,2006-06-04,2006-06-06
1343,EM-DAT,2006-0302-SVK,Slovakia,2006-06-04,2006-06-06
1344,DFO,DFO-2867,Thailand,2006-05-22,2006-06-11
1344,DFO,DFO-2875,Thailand,2006-05-31,2006-05-31
1344,EM-DAT,2006-0270-THA,Thailand,2006-05-22,2006-06-11
1345,DFO,DFO-2818,United States of America,2006-03-12,2006-03-22
1345,DFO,DFO-2820,United States of America,2006-03-14,2006-03-23
1345,DFO,DFO-2822,United States of America,2006-03-18,2006-03-25
1345,DFO,DFO-2829,United States of America,2006-03-30,2006-04-25
1345,DFO,DFO-2831,United States of America,2006-03-31,2006-04-03
1345,DFO,DFO-2834,United States of America,2006-04-04,2006-04-17
1345,DFO,DFO-2881,United States of America,2006-04-07,2006-06-03
1345,DFO,DFO-2864,United States of America,2006-05-11,2006-05-22
1345,DFO,DFO-2882,United States of America,2006-05-22,2006-05-29
1345,DFO,DFO-2871,United States of America,2006-05-25,2006-05-28
1345,DFO,DFO-2874,United States of America,2006-05-28,2006-06-02
1345,EM-DAT,2006-0182-USA,United States of America,2006-03-14,2006-03-23
1345,EM-DAT,2006-0180-USA,United States of America,2006-04-04,2006-04-17
1345,EM-DAT,2006-0260-USA,United States of America,2006-05-11,2006-05-22
1346,DFO,DFO-2872,Morocco,2006-05-26,2006-05-28
1346,EM-DAT,2006-0267-MAR,Morocco,2006-05-26,2006-05-28
1347,DFO,DFO-2841,Canada,2006-04-11,2006-05-09
1347,DFO,DFO-2845,Canada,2006-04-12,2006-04-24
1347,DFO,DFO-2849,Canada,2006-04-18,2006-04-24
